yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,NFLX,GRUB,AMZN,CPB,ZM,GOOGL,MSFT,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM,HUM,UNH,DFS,BAC,AXP
2020-04-16,132.3300,196.4900,149.6700,121.5000,128.0000,439.1700,40.3000,2408.1900,51.1100,150.2600,1257.4300,177.0400,496.3500,57.6600,36.3500,27.0300,27.1400,20.3500,31.9500,321.5600,45.5000,4.3600,23537.6797,73.5100,179.5000,22.7800,28.2100,50.1000,7.7800,11.8500,70.1500,80.3900,58.2200,62.5600,271.8400,377.3100,298.4300,31.6900,21.4200,81.3500
2020-04-15,128.7600,195.6400,147.6600,121.2200,113.0000,426.7500,40.3500,2307.6800,50.5000,151.5600,1257.3000,171.8800,496.3200,56.9300,35.6100,27.4100,28.3900,18.9800,32.0300,310.2700,45.5400,4.4300,23504.3496,72.5500,177.8400,24.3500,31.8600,52.0000,7.5800,12.3800,69.8700,80.7300,60.5600,60.5600,250.4700,353.5400,281.6800,32.9800,22.1900,83.7900
2020-04-14,129.0000,194.3700,146.0300,120.9600,106.5300,413.5500,41.8000,2283.3200,50.0700,141.8900,1265.2300,173.7000,489.5700,58.1400,31.8800,27.7500,30.5000,19.0700,32.0900,314.1400,48.0700,4.6600,23949.7598,73.6700,183.9900,24.5400,30.9000,55.3200,7.5400,12.5100,70.0100,82.6800,61.5800,61.5600,252.0100,352.2100,270.5000,35.5300,23.7300,88.3900
2020-04-13,125.3000,185.4700,139.7700,115.9500,96.5600,396.7200,39.6800,2168.8700,48.5000,135.9200,1210.4100,165.5100,469.7000,56.6700,31.9900,27.9900,30.6600,18.8100,31.3300,299.6200,49.4000,4.9300,23390.7695,71.7600,180.1200,23.2500,28.9100,54.1800,7.5900,11.5000,66.6400,78.0900,58.7900,58.9600,240.5300,348.2600,263.5100,36.1800,23.9200,90.3300
2020-04-09,121.8000,184.2100,141.2300,114.6600,92.4500,370.7200,45.0900,2042.7600,47.7500,124.5100,1206.5700,165.1400,466.6400,57.4400,28.4500,27.1100,30.3300,19.0000,31.0600,300.0100,48.9000,4.9800,23719.3691,73.8800,183.7000,24.3900,31.5000,55.5900,7.7800,12.4200,68.4500,81.3100,62.4200,60.4700,242.4600,341.9000,264.1300,39.2100,24.8600,94.8200
2020-04-08,121.8400,181.0400,143.2600,115.1000,87.8100,371.1200,43.7400,2043.0000,46.1600,117.8100,1207.0000,165.1300,463.9300,57.8000,27.5000,26.9400,29.6400,19.2300,31.0200,305.9700,47.9000,5.3700,23433.5703,71.5700,177.4900,23.2300,27.5100,52.0600,7.3400,11.9900,70.0900,82.5300,60.5500,59.4100,247.0200,337.2600,267.8300,37.2200,23.4500,92.0800
2020-04-07,121.9900,181.5000,137.4800,112.7700,87.8000,372.2800,42.0900,2011.6000,46.7400,113.7500,1182.5600,163.4900,451.7500,56.9800,27.5800,25.7400,27.5000,19.2600,31.8600,303.6300,46.7700,5.0900,22653.8594,68.7100,175.5900,22.2500,24.4800,45.8700,7.1700,11.3000,65.8300,73.8200,56.5100,56.8700,224.0500,320.0500,248.0400,35.0000,22.1400,87.5800
2020-04-06,126.0700,181.3800,139.7600,117.8100,89.4900,379.9600,39.6900,1997.5900,47.6100,122.9400,1183.1900,165.2700,459.5500,56.7000,28.3700,25.9900,25.7300,19.3900,32.6300,305.1200,44.6800,5.4800,22679.9902,67.7900,177.0400,22.3200,24.0200,42.5600,7.1300,10.2100,63.8000,70.5900,52.8300,56.2200,225.7200,327.4700,248.3400,33.4600,21.3900,83.8700
2020-04-03,119.4800,177.5400,134.1700,115.0800,81.4600,361.7600,34.2700,1906.5900,49.5300,128.2000,1092.7000,153.8300,433.8000,54.7000,28.7500,22.8200,22.0000,19.0200,32.2900,288.6500,43.4600,5.9000,21052.5293,63.0500,160.3300,22.4800,22.8850,36.9600,6.8800,8.4900,55.9400,59.0800,48.7100,55.7200,203.3000,291.6300,229.4900,28.5300,20.0300,73.6000
2020-04-02,118.6500,179.7000,133.1500,114.4000,82.5300,370.0800,34.8200,1918.8300,47.4500,121.9300,1117.0300,155.2600,435.6600,55.2500,26.7400,23.6800,22.4500,18.9700,31.6000,291.4800,43.9700,5.1100,21413.4395,65.0000,161.5000,22.6800,23.4200,39.8400,7.3200,7.9700,57.8600,63.0000,47.8600,55.4100,211.3900,300.1100,240.4400,30.9900,20.5700,76.6600
