yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,NFLX,GRUB,AMZN,CPB,ZM,GOOGL,MSFT,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM,HUM,UNH,DFS,BAC,AXP
2019-12-31,118.84,153.54,145.87,124.9,133.9,323.57,48.64,1847.84,49.42,68.04,1339.39,157.7,485.08,61.4,28.4,29.74,43.02,19.35,28.99,293.92,82.04,12.81,28538.4395,87.92,197.61,58.48,88.09,74.68,7.7,50.83,110.91,151.43,108.14,74.29,302.03,366.52,293.98,84.82,35.22,124.49
2020-01-01,118.89,153.075,145.92000000000002,124.155,135.5,326.69,47.94,1872.925,48.955,68.38,1354.035,159.16,487.755,61.224999999999994,29.07,30.365,43.3,18.97,28.825,292.70500000000004,82.745,12.81,28703.620150000002,88.63499999999999,199.2,58.76,88.91499999999999,74.88,7.77,51.07,111.18,151.46,109.56,74.225,301.45,364.88,293.24,85.06,35.43,125.16999999999999
2020-01-02,118.94,152.61,145.97,123.41,137.1,329.81,47.24,1898.01,48.49,68.72,1368.68,160.62,490.43,61.05,29.74,30.99,43.58,18.59,28.66,291.49,83.45,12.81,28868.8008,89.35,200.79,59.04,89.74,75.08,7.84,51.31,111.45,151.49,110.98,74.16,300.87,363.24,292.5,85.3,35.64,125.85
2020-01-03,117.89,152.91,144.28,122.58,137.51,325.9,47.17,1874.97,48.43,67.28,1361.52,158.62,494.47,60.4,30.6,31.37,43.19,18.495,28.7,291.73,82.75,13.18,28634.8809,88.83,200.08,58.06,87.9,75.64,7.5,49.89,109.99,149.27,109.13,73.57,296.88,364.86,289.54,83.88,34.9,124.6
2020-01-04,117.81,153.06333333333333,144.22,122.63666666666667,139.46333333333334,329.21,47.86333333333334,1884.2733333333333,48.45666666666666,68.29333333333334,1373.6166666666666,158.75666666666666,495.46333333333337,60.35666666666667,30.316666666666666,31.44,43.16,18.558333333333334,28.733333333333334,291.75666666666666,82.94333333333333,13.173333333333334,28657.714233333332,88.59666666666666,200.83,57.92666666666667,87.83333333333334,75.44,7.57,49.38666666666667,109.8,148.62666666666667,109.0,73.66666666666666,298.07,366.75666666666666,290.21000000000004,83.38666666666667,34.88333333333333,124.42
2020-01-05,117.73,153.21666666666667,144.16,122.69333333333333,141.41666666666666,332.52,48.556666666666665,1893.5766666666668,48.483333333333334,69.30666666666666,1385.7133333333334,158.89333333333335,496.45666666666665,60.31333333333333,30.033333333333335,31.509999999999998,43.13,18.621666666666666,28.766666666666666,291.78333333333336,83.13666666666667,13.166666666666666,28680.547566666668,88.36333333333333,201.58,57.79333333333333,87.76666666666667,75.24000000000001,7.64,48.88333333333333,109.61,147.98333333333335,108.86999999999999,73.76333333333334,299.26,368.65333333333336,290.88,82.89333333333333,34.86666666666667,124.24
2020-01-06,117.65,153.37,144.1,122.75,143.37,335.83,49.25,1902.88,48.51,70.32,1397.81,159.03,497.45,60.27,29.75,31.58,43.1,18.685,28.8,291.81,83.33,13.16,28703.3809,88.13,202.33,57.66,87.7,75.04,7.71,48.38,109.42,147.34,108.74,73.86,300.45,370.55,291.55,82.4,34.85,124.06
2020-01-07,116.56,151.52,144.98,121.99,138.19,330.75,48.63,1906.86,48.19,71.9,1395.11,157.58,499.16,59.6,30.4,32.81,44.25,18.34,28.59,291.35,81.61,13.13,28583.6797,87.86,202.63,57.61,86.77,76.33,7.93,48.53,108.29,144.94,110.02,73.58,299.54,366.87,289.79,81.49,34.62,123.41
2020-01-08,116.16,151.97,144.96,122.51,134.64,339.26,54.75,1891.97,47.35,72.55,1405.04,160.09,500.77,59.71,29.65,33.93,45.08,18.32,28.42,294.69,81.98,12.66,28745.0898,88.88,205.91,58.85,87.3,76.32,7.7,48.76,109.21,146.73,108.62,72.66,307.48,375.0,295.9,82.37,34.97,125.54
2020-01-09,117.36,152.8,145.39,123.85,133.79,335.66,55.73,1901.05,47.62,72.62,1419.79,162.09,507.28,58.85,27.87,33.97,45.59,18.02,28.44,299.42,80.98,12.49,28956.9004,90.53,208.35,58.96,87.95,76.86,7.51,49.2,109.09,146.45,109.76,72.86,306.41,364.51,294.22,83.43,35.03,127.81
