date,country,count
0,2020-01-21,united states,11
1,2020-01-21,canada,2
0,2020-01-22,united states,1179
1,2020-01-22,canada,92
2,2020-01-22,china,56
3,2020-01-22,united kingdom,48
4,2020-01-22,india,31
5,2020-01-22,australia,31
6,2020-01-22,switzerland,28
7,2020-01-22,nigeria,26
8,2020-01-22,philippines,25
9,2020-01-22,france,22
10,2020-01-22,malaysia,19
11,2020-01-22,ireland,15
12,2020-01-22,netherlands,15
13,2020-01-22,new zealand,15
14,2020-01-22,japan,13
15,2020-01-22,south africa,12
16,2020-01-22,vietnam,11
17,2020-01-22,singapore,11
18,2020-01-22,taiwan,11
19,2020-01-22,germany,9
20,2020-01-22,pakistan,9
21,2020-01-22,portugal,7
22,2020-01-22,spain,6
23,2020-01-22,sweden,6
24,2020-01-22,austria,5
25,2020-01-22,belgium,5
26,2020-01-22,kenya,5
27,2020-01-22,turkey,4
28,2020-01-22,finland,4
29,2020-01-22,norway,4
30,2020-01-22,indonesia,4
31,2020-01-22,colombia,4
32,2020-01-22,venezuela,4
33,2020-01-22,puerto rico,3
34,2020-01-22,nepal,3
35,2020-01-22,thailand,3
36,2020-01-22,zambia,3
37,2020-01-22,denmark,3
38,2020-01-22,libya,2
39,2020-01-22,uganda,2
40,2020-01-22,albania,2
41,2020-01-22,argentina,2
42,2020-01-22,italy,2
43,2020-01-22,ecuador,2
44,2020-01-22,egypt,2
45,2020-01-22,mexico,2
46,2020-01-22,jersey,2
47,2020-01-22,croatia,2
48,2020-01-22,romania,2
49,2020-01-22,malta,1
50,2020-01-22,fiji,1
51,2020-01-22,belarus,1
52,2020-01-22,israel,1
53,2020-01-22,guernsey,1
54,2020-01-22,panama,1
55,2020-01-22,serbia,1
56,2020-01-22,united arab emirates,1
57,2020-01-22,turks & caicos islands,1
58,2020-01-22,lebanon,1
59,2020-01-22,senegal,1
60,2020-01-22,iraq,1
61,2020-01-22,sri lanka,1
62,2020-01-22,liberia,1
63,2020-01-22,hungary,1
64,2020-01-22,poland,1
65,2020-01-22,cyprus,1
66,2020-01-22,bolivia,1
67,2020-01-22,south korea,1
68,2020-01-22,bhutan,1
69,2020-01-22,brazil,1
70,2020-01-22,dominican republic,1
71,2020-01-22,slovakia,1
72,2020-01-22,bulgaria,1
73,2020-01-22,ethiopia,1
74,2020-01-22,tanzania,1
75,2020-01-22,kuwait,1
76,2020-01-22,bangladesh,1
0,2020-01-23,united states,4712
1,2020-01-23,canada,508
2,2020-01-23,india,378
3,2020-01-23,singapore,364
4,2020-01-23,united kingdom,356
5,2020-01-23,china,280
6,2020-01-23,philippines,270
7,2020-01-23,australia,262
8,2020-01-23,nigeria,207
9,2020-01-23,malaysia,146
10,2020-01-23,france,122
11,2020-01-23,japan,86
12,2020-01-23,south africa,81
13,2020-01-23,pakistan,80
14,2020-01-23,ireland,76
15,2020-01-23,switzerland,74
16,2020-01-23,germany,71
17,2020-01-23,new zealand,68
18,2020-01-23,taiwan,58
19,2020-01-23,thailand,49
20,2020-01-23,indonesia,48
21,2020-01-23,netherlands,44
22,2020-01-23,kenya,42
23,2020-01-23,sweden,41
24,2020-01-23,italy,39
25,2020-01-23,portugal,33
26,2020-01-23,turkey,30
27,2020-01-23,spain,28
28,2020-01-23,israel,24
29,2020-01-23,vietnam,24
30,2020-01-23,sri lanka,22
31,2020-01-23,bangladesh,22
32,2020-01-23,venezuela,20
33,2020-01-23,ghana,19
34,2020-01-23,egypt,18
35,2020-01-23,finland,16
36,2020-01-23,qatar,14
37,2020-01-23,united arab emirates,13
38,2020-01-23,chile,13
39,2020-01-23,poland,13
40,2020-01-23,maldives,12
41,2020-01-23,colombia,12
42,2020-01-23,norway,12
43,2020-01-23,nepal,12
44,2020-01-23,austria,11
45,2020-01-23,estonia,11
46,2020-01-23,brazil,11
47,2020-01-23,russia,10
48,2020-01-23,jamaica,10
49,2020-01-23,cambodia,10
50,2020-01-23,saudi arabia,10
51,2020-01-23,greece,9
52,2020-01-23,uganda,9
53,2020-01-23,ethiopia,9
54,2020-01-23,antarctica,9
55,2020-01-23,malta,8
56,2020-01-23,slovakia,8
57,2020-01-23,puerto rico,8
58,2020-01-23,cyprus,8
59,2020-01-23,mexico,8
60,2020-01-23,ukraine,8
61,2020-01-23,argentina,7
62,2020-01-23,mongolia,6
63,2020-01-23,dominican republic,6
64,2020-01-23,belgium,6
65,2020-01-23,zimbabwe,6
66,2020-01-23,croatia,6
67,2020-01-23,el salvador,6
68,2020-01-23,lebanon,6
69,2020-01-23,tanzania,6
70,2020-01-23,bermuda,5
71,2020-01-23,bahamas,5
72,2020-01-23,ecuador,5
73,2020-01-23,mali,5
74,2020-01-23,south korea,5
75,2020-01-23,romania,4
76,2020-01-23,iran,4
77,2020-01-23,malawi,4
78,2020-01-23,panama,4
79,2020-01-23,namibia,4
80,2020-01-23,yemen,4
81,2020-01-23,slovenia,4
82,2020-01-23,denmark,4
83,2020-01-23,fiji,3
84,2020-01-23,mauritius,3
85,2020-01-23,cayman islands,3
86,2020-01-23,cuba,3
87,2020-01-23,hungary,3
88,2020-01-23,azerbaijan,3
89,2020-01-23,serbia,3
90,2020-01-23,luxembourg,3
91,2020-01-23,costa rica,3
92,2020-01-23,afghanistan,3
93,2020-01-23,botswana,3
94,2020-01-23,samoa,2
95,2020-01-23,syria,2
96,2020-01-23,cape verde,2
97,2020-01-23,liberia,2
98,2020-01-23,iraq,2
99,2020-01-23,cameroon,2
100,2020-01-23,jordan,2
101,2020-01-23,british virgin islands,2
102,2020-01-23,kuwait,2
103,2020-01-23,iceland,2
104,2020-01-23,kosovo,2
105,2020-01-23,libya,2
106,2020-01-23,uruguay,2
107,2020-01-23,brunei,2
108,2020-01-23,montserrat,2
109,2020-01-23,lesotho,2
110,2020-01-23,paraguay,1
111,2020-01-23,belize,1
112,2020-01-23,senegal,1
113,2020-01-23,guatemala,1
114,2020-01-23,rwanda,1
115,2020-01-23,tunisia,1
116,2020-01-23,grenada,1
117,2020-01-23,south sudan,1
118,2020-01-23,angola,1
119,2020-01-23,kazakhstan,1
120,2020-01-23,guernsey,1
121,2020-01-23,madagascar,1
122,2020-01-23,algeria,1
123,2020-01-23,isle of man,1
124,2020-01-23,turkmenistan,1
125,2020-01-23,mozambique,1
126,2020-01-23,faroe islands,1
127,2020-01-23,guyana,1
128,2020-01-23,armenia,1
129,2020-01-23,western sahara,1
130,2020-01-23,bahrain,1
131,2020-01-23,monaco,1
132,2020-01-23,solomon islands,1
133,2020-01-23,peru,1
134,2020-01-23,cook islands,1
135,2020-01-23,jersey,1
136,2020-01-23,oman,1
137,2020-01-23,chad,1
138,2020-01-23,sierra leone,1
139,2020-01-23,haiti,1
140,2020-01-23,sudan,1
141,2020-01-23,zambia,1
0,2020-01-24,united states,14297
1,2020-01-24,india,1505
2,2020-01-24,canada,1418
3,2020-01-24,united kingdom,1220
4,2020-01-24,philippines,818
5,2020-01-24,singapore,805
6,2020-01-24,nigeria,795
7,2020-01-24,australia,789
8,2020-01-24,china,639
9,2020-01-24,malaysia,516
10,2020-01-24,france,451
11,2020-01-24,ireland,410
12,2020-01-24,south africa,353
13,2020-01-24,pakistan,331
14,2020-01-24,japan,301
15,2020-01-24,thailand,211
16,2020-01-24,indonesia,201
17,2020-01-24,new zealand,185
18,2020-01-24,germany,179
19,2020-01-24,kenya,174
20,2020-01-24,netherlands,156
21,2020-01-24,sweden,156
22,2020-01-24,taiwan,142
23,2020-01-24,uganda,116
24,2020-01-24,switzerland,115
25,2020-01-24,sri lanka,101
26,2020-01-24,spain,99
27,2020-01-24,ghana,93
28,2020-01-24,vietnam,83
29,2020-01-24,nepal,75
30,2020-01-24,finland,73
31,2020-01-24,italy,71
32,2020-01-24,portugal,69
33,2020-01-24,belgium,64
34,2020-01-24,poland,60
35,2020-01-24,colombia,56
36,2020-01-24,qatar,56
37,2020-01-24,russia,56
38,2020-01-24,united arab emirates,52
39,2020-01-24,israel,51
40,2020-01-24,egypt,49
41,2020-01-24,jamaica,48
42,2020-01-24,bangladesh,47
43,2020-01-24,turkey,47
44,2020-01-24,mexico,47
45,2020-01-24,chile,43
46,2020-01-24,brazil,40
47,2020-01-24,cambodia,39
48,2020-01-24,greece,39
49,2020-01-24,maldives,38
50,2020-01-24,estonia,38
51,2020-01-24,saudi arabia,37
52,2020-01-24,denmark,36
53,2020-01-24,venezuela,35
54,2020-01-24,zimbabwe,32
55,2020-01-24,lebanon,31
56,2020-01-24,norway,31
57,2020-01-24,puerto rico,31
58,2020-01-24,argentina,30
59,2020-01-24,austria,29
60,2020-01-24,cyprus,26
61,2020-01-24,kuwait,24
62,2020-01-24,romania,22
63,2020-01-24,mali,22
64,2020-01-24,panama,21
65,2020-01-24,jersey,20
66,2020-01-24,malta,19
67,2020-01-24,peru,19
68,2020-01-24,luxembourg,18
69,2020-01-24,iceland,18
70,2020-01-24,fiji,17
71,2020-01-24,ecuador,17
72,2020-01-24,afghanistan,17
73,2020-01-24,mongolia,16
74,2020-01-24,ukraine,15
75,2020-01-24,antarctica,15
76,2020-01-24,yemen,15
77,2020-01-24,tanzania,14
78,2020-01-24,ethiopia,14
79,2020-01-24,hungary,13
80,2020-01-24,botswana,12
81,2020-01-24,malawi,12
82,2020-01-24,el salvador,12
83,2020-01-24,costa rica,12
84,2020-01-24,croatia,12
85,2020-01-24,barbados,11
86,2020-01-24,latvia,11
87,2020-01-24,bahrain,11
88,2020-01-24,morocco,10
89,2020-01-24,isle of man,10
90,2020-01-24,jordan,9
91,2020-01-24,iran,9
92,2020-01-24,namibia,8
93,2020-01-24,armenia,8
94,2020-01-24,guatemala,8
95,2020-01-24,south korea,8
96,2020-01-24,iraq,8
97,2020-01-24,bahamas,8
98,2020-01-24,sudan,7
99,2020-01-24,dominican republic,7
100,2020-01-24,paraguay,7
101,2020-01-24,south sudan,7
102,2020-01-24,rwanda,7
103,2020-01-24,cayman islands,7
104,2020-01-24,syria,6
105,2020-01-24,senegal,6
106,2020-01-24,guinea,6
107,2020-01-24,bermuda,6
108,2020-01-24,cameroon,6
109,2020-01-24,albania,6
110,2020-01-24,oman,6
111,2020-01-24,belize,6
112,2020-01-24,haiti,6
113,2020-01-24,liberia,6
114,2020-01-24,bhutan,5
115,2020-01-24,brunei,5
116,2020-01-24,british virgin islands,5
117,2020-01-24,mauritius,5
118,2020-01-24,bolivia,5
119,2020-01-24,serbia,5
120,2020-01-24,monaco,5
121,2020-01-24,dominica,4
122,2020-01-24,gibraltar,4
123,2020-01-24,guam,4
124,2020-01-24,bulgaria,4
125,2020-01-24,uruguay,4
126,2020-01-24,tunisia,4
127,2020-01-24,slovakia,3
128,2020-01-24,nicaragua,3
129,2020-01-24,madagascar,3
130,2020-01-24,north korea,3
131,2020-01-24,zambia,3
132,2020-01-24,cuba,3
133,2020-01-24,honduras,3
134,2020-01-24,tuvalu,3
135,2020-01-24,cape verde,3
136,2020-01-24,kazakhstan,3
137,2020-01-24,slovenia,3
138,2020-01-24,montserrat,3
139,2020-01-24,uzbekistan,2
140,2020-01-24,andorra,2
141,2020-01-24,canary islands,2
142,2020-01-24,central african republic,2
143,2020-01-24,sierra leone,2
144,2020-01-24,guyana,2
145,2020-01-24,czechia,2
146,2020-01-24,diego garcia,2
147,2020-01-24,samoa,2
148,2020-01-24,kyrgyzstan,2
149,2020-01-24,faroe islands,1
150,2020-01-24,mozambique,1
151,2020-01-24,algeria,1
152,2020-01-24,micronesia,1
153,2020-01-24,mauritania,1
154,2020-01-24,burkina faso,1
155,2020-01-24,equatorial guinea,1
156,2020-01-24,vatican city,1
157,2020-01-24,eritrea,1
158,2020-01-24,azerbaijan,1
159,2020-01-24,chad,1
160,2020-01-24,belarus,1
161,2020-01-24,djibouti,1
162,2020-01-24,burundi,1
163,2020-01-24,benin,1
164,2020-01-24,grenada,1
165,2020-01-24,kiribati,1
166,2020-01-24,moldova,1
167,2020-01-24,niger,1
168,2020-01-24,gabon,1
169,2020-01-24,lesotho,1
170,2020-01-24,tajikistan,1
171,2020-01-24,trinidad & tobago,1
172,2020-01-24,seychelles,1
173,2020-01-24,guernsey,1
174,2020-01-24,angola,1
0,2020-01-25,united states,13624
1,2020-01-25,canada,2123
2,2020-01-25,australia,1851
3,2020-01-25,india,1807
4,2020-01-25,malaysia,1199
5,2020-01-25,united kingdom,1179
6,2020-01-25,nigeria,988
7,2020-01-25,china,810
8,2020-01-25,singapore,709
9,2020-01-25,philippines,672
10,2020-01-25,france,549
11,2020-01-25,pakistan,492
12,2020-01-25,indonesia,402
13,2020-01-25,south africa,363
14,2020-01-25,japan,354
15,2020-01-25,ireland,332
16,2020-01-25,thailand,323
17,2020-01-25,new zealand,287
18,2020-01-25,germany,264
19,2020-01-25,kenya,253
20,2020-01-25,sri lanka,212
21,2020-01-25,netherlands,191
22,2020-01-25,sweden,185
23,2020-01-25,switzerland,118
24,2020-01-25,taiwan,109
25,2020-01-25,spain,105
26,2020-01-25,belgium,96
27,2020-01-25,portugal,96
28,2020-01-25,israel,95
29,2020-01-25,poland,90
30,2020-01-25,bangladesh,89
31,2020-01-25,nepal,85
32,2020-01-25,united arab emirates,81
33,2020-01-25,vietnam,81
34,2020-01-25,jamaica,78
35,2020-01-25,ghana,77
36,2020-01-25,qatar,75
37,2020-01-25,maldives,74
38,2020-01-25,italy,72
39,2020-01-25,brazil,68
40,2020-01-25,lebanon,65
41,2020-01-25,uganda,62
42,2020-01-25,colombia,60
43,2020-01-25,finland,52
44,2020-01-25,russia,50
45,2020-01-25,turkey,49
46,2020-01-25,egypt,48
47,2020-01-25,mexico,47
48,2020-01-25,greece,46
49,2020-01-25,antarctica,45
50,2020-01-25,chile,43
51,2020-01-25,saudi arabia,41
52,2020-01-25,austria,39
53,2020-01-25,zimbabwe,38
54,2020-01-25,kuwait,36
55,2020-01-25,argentina,35
56,2020-01-25,norway,33
57,2020-01-25,denmark,32
58,2020-01-25,venezuela,32
59,2020-01-25,cambodia,31
60,2020-01-25,ukraine,31
61,2020-01-25,yemen,31
62,2020-01-25,south korea,26
63,2020-01-25,afghanistan,25
64,2020-01-25,iceland,25
65,2020-01-25,puerto rico,25
66,2020-01-25,ethiopia,23
67,2020-01-25,peru,22
68,2020-01-25,iran,22
69,2020-01-25,panama,22
70,2020-01-25,mali,22
71,2020-01-25,malta,20
72,2020-01-25,mongolia,20
73,2020-01-25,fiji,19
74,2020-01-25,croatia,17
75,2020-01-25,hungary,16
76,2020-01-25,tunisia,15
77,2020-01-25,ecuador,15
78,2020-01-25,botswana,15
79,2020-01-25,albania,14
80,2020-01-25,iraq,13
81,2020-01-25,costa rica,13
82,2020-01-25,morocco,12
83,2020-01-25,bahamas,12
84,2020-01-25,cyprus,12
85,2020-01-25,barbados,12
86,2020-01-25,luxembourg,11
87,2020-01-25,bahrain,11
88,2020-01-25,jordan,11
89,2020-01-25,tanzania,11
90,2020-01-25,slovenia,11
91,2020-01-25,rwanda,10
92,2020-01-25,haiti,10
93,2020-01-25,syria,10
94,2020-01-25,jersey,10
95,2020-01-25,guinea,10
96,2020-01-25,estonia,10
97,2020-01-25,brunei,9
98,2020-01-25,romania,9
99,2020-01-25,oman,9
100,2020-01-25,serbia,9
101,2020-01-25,bulgaria,8
102,2020-01-25,namibia,8
103,2020-01-25,isle of man,8
104,2020-01-25,bhutan,8
105,2020-01-25,north korea,7
106,2020-01-25,malawi,7
107,2020-01-25,dominican republic,6
108,2020-01-25,zambia,6
109,2020-01-25,sudan,6
110,2020-01-25,uruguay,5
111,2020-01-25,guernsey,5
112,2020-01-25,cameroon,5
113,2020-01-25,algeria,5
114,2020-01-25,mauritius,5
115,2020-01-25,cape verde,5
116,2020-01-25,south sudan,5
117,2020-01-25,armenia,5
118,2020-01-25,el salvador,5
119,2020-01-25,lithuania,5
120,2020-01-25,guam,5
121,2020-01-25,gibraltar,5
122,2020-01-25,slovakia,4
123,2020-01-25,nicaragua,4
124,2020-01-25,latvia,4
125,2020-01-25,kosovo,4
126,2020-01-25,samoa,4
127,2020-01-25,cayman islands,4
128,2020-01-25,aruba,4
129,2020-01-25,belize,4
130,2020-01-25,cuba,3
131,2020-01-25,bolivia,3
132,2020-01-25,laos,3
133,2020-01-25,tuvalu,3
134,2020-01-25,eswatini,3
135,2020-01-25,niue,3
136,2020-01-25,greenland,3
137,2020-01-25,guatemala,3
138,2020-01-25,belarus,3
139,2020-01-25,mozambique,3
140,2020-01-25,american samoa,2
141,2020-01-25,guadeloupe,2
142,2020-01-25,north macedonia,2
143,2020-01-25,curaçao,2
144,2020-01-25,vatican city,2
145,2020-01-25,azerbaijan,2
146,2020-01-25,senegal,2
147,2020-01-25,gambia,2
148,2020-01-25,liberia,2
149,2020-01-25,madagascar,2
150,2020-01-25,djibouti,2
151,2020-01-25,paraguay,2
152,2020-01-25,sierra leone,2
153,2020-01-25,lesotho,2
154,2020-01-25,vanuatu,2
155,2020-01-25,seychelles,2
156,2020-01-25,palau,2
157,2020-01-25,bermuda,2
158,2020-01-25,honduras,1
159,2020-01-25,central african republic,1
160,2020-01-25,british virgin islands,1
161,2020-01-25,montserrat,1
162,2020-01-25,tristan da cunha,1
163,2020-01-25,northern mariana islands,1
164,2020-01-25,solomon islands,1
165,2020-01-25,monaco,1
166,2020-01-25,benin,1
167,2020-01-25,kazakhstan,1
168,2020-01-25,dominica,1
169,2020-01-25,comoros,1
170,2020-01-25,suriname,1
171,2020-01-25,grenada,1
172,2020-01-25,andorra,1
173,2020-01-25,trinidad & tobago,1
174,2020-01-25,kyrgyzstan,1
175,2020-01-25,guyana,1
176,2020-01-25,marshall islands,1
177,2020-01-25,chad,1
178,2020-01-25,burkina faso,1
179,2020-01-25,san marino,1
180,2020-01-25,tonga,1
181,2020-01-25,libya,1
0,2020-01-26,united states,15985
1,2020-01-26,canada,2899
2,2020-01-26,australia,1652
3,2020-01-26,india,1393
4,2020-01-26,malaysia,1322
5,2020-01-26,united kingdom,1236
6,2020-01-26,nigeria,1088
7,2020-01-26,china,941
8,2020-01-26,philippines,787
9,2020-01-26,singapore,732
10,2020-01-26,pakistan,516
11,2020-01-26,france,511
12,2020-01-26,indonesia,468
13,2020-01-26,japan,382
14,2020-01-26,new zealand,382
15,2020-01-26,south africa,339
16,2020-01-26,ireland,304
17,2020-01-26,thailand,303
18,2020-01-26,germany,286
19,2020-01-26,sri lanka,244
20,2020-01-26,kenya,240
21,2020-01-26,netherlands,186
22,2020-01-26,switzerland,180
23,2020-01-26,sweden,149
24,2020-01-26,italy,149
25,2020-01-26,united arab emirates,134
26,2020-01-26,poland,132
27,2020-01-26,portugal,114
28,2020-01-26,taiwan,113
29,2020-01-26,spain,111
30,2020-01-26,israel,106
31,2020-01-26,nepal,93
32,2020-01-26,vietnam,88
33,2020-01-26,maldives,81
34,2020-01-26,bangladesh,77
35,2020-01-26,belgium,74
36,2020-01-26,turkey,70
37,2020-01-26,uganda,67
38,2020-01-26,brazil,67
39,2020-01-26,mexico,66
40,2020-01-26,qatar,65
41,2020-01-26,greece,63
42,2020-01-26,afghanistan,59
43,2020-01-26,jamaica,56
44,2020-01-26,lebanon,55
45,2020-01-26,austria,53
46,2020-01-26,finland,51
47,2020-01-26,russia,50
48,2020-01-26,norway,49
49,2020-01-26,ghana,49
50,2020-01-26,colombia,49
51,2020-01-26,saudi arabia,44
52,2020-01-26,antarctica,44
53,2020-01-26,egypt,43
54,2020-01-26,puerto rico,40
55,2020-01-26,denmark,39
56,2020-01-26,argentina,39
57,2020-01-26,cambodia,37
58,2020-01-26,fiji,34
59,2020-01-26,oman,34
60,2020-01-26,zimbabwe,33
61,2020-01-26,chile,32
62,2020-01-26,kuwait,32
63,2020-01-26,el salvador,30
64,2020-01-26,ethiopia,29
65,2020-01-26,iran,27
66,2020-01-26,panama,26
67,2020-01-26,venezuela,25
68,2020-01-26,ukraine,25
69,2020-01-26,bahrain,24
70,2020-01-26,botswana,24
71,2020-01-26,mali,24
72,2020-01-26,mongolia,24
73,2020-01-26,peru,23
74,2020-01-26,iceland,22
75,2020-01-26,romania,22
76,2020-01-26,croatia,21
77,2020-01-26,hungary,20
78,2020-01-26,south korea,19
79,2020-01-26,iraq,17
80,2020-01-26,cyprus,17
81,2020-01-26,malta,16
82,2020-01-26,morocco,16
83,2020-01-26,ecuador,15
84,2020-01-26,jordan,15
85,2020-01-26,yemen,15
86,2020-01-26,serbia,15
87,2020-01-26,jersey,14
88,2020-01-26,slovenia,14
89,2020-01-26,barbados,14
90,2020-01-26,north korea,14
